target	context	f_tc	f_t	f_c	pmi
avion	demander	4.00	1930.00	15.00	0.543408
avion	survoler	2.00	1930.00	2.00	1.865164
avion	chasse	2.00	1930.00	2.00	1.865164
avion	pionnier	1.00	1930.00	1.00	1.865164
avion	tapis	1.00	1930.00	1.00	1.865164
avion	surveillance	5.00	1930.00	5.00	1.865164
avion	nécessiter	3.00	1930.00	3.00	1.865164
avion	modélisme	1.00	1930.00	1.00	1.865164
avion	crème	1.00	1930.00	1.00	1.865164
avion	seul	1.00	1930.00	25.00	-1.353712
avion	diriger	1.00	1930.00	6.00	0.073405
avion	intrus	2.00	1930.00	2.00	1.865164
avion	vaincre	1.00	1930.00	1.00	1.865164
avion	maternel	1.00	1930.00	1.00	1.865164
avion	jusque-là	1.00	1930.00	1.00	1.865164
avion	fournir	1.00	1930.00	4.00	0.478870
avion	poursuivre	1.00	1930.00	2.00	1.172017
avion	école	1.00	1930.00	6.00	0.073405
avion	mondial	1.00	1930.00	5.00	0.255726
avion	causer	1.00	1930.00	3.00	0.766552
avion	conduire	3.00	1930.00	59.00	-1.113761
avion	approche	1.00	1930.00	1.00	1.865164
avion	prochain	1.00	1930.00	4.00	0.478870
avion	prenez-vous	1.00	1930.00	1.00	1.865164
avion	regarder	6.00	1930.00	28.00	0.324719
avion	blanc	2.00	1930.00	12.00	0.073405
avion	porteur	1.00	1930.00	3.00	0.766552
avion	organisation	1.00	1930.00	2.00	1.172017
avion	changer	1.00	1930.00	12.00	-0.619743
avion	utile	1.00	1930.00	1.00	1.865164
avion	série	1.00	1930.00	8.00	-0.214278
avion	zone	3.00	1930.00	13.00	0.398827
avion	dehors	2.00	1930.00	3.00	1.459699
avion	niveau	1.00	1930.00	2.00	1.172017
avion	zéro	1.00	1930.00	3.00	0.766552
avion	presse	1.00	1930.00	2.00	1.172017
avion	blesser	1.00	1930.00	4.00	0.478870
avion	brevet	3.00	1930.00	3.00	1.865164
avion	nombreux	1.00	1930.00	6.00	0.073405
avion	design	1.00	1930.00	3.00	0.766552
avion	pied	4.00	1930.00	4.00	1.865164
avion	rivière	1.00	1930.00	3.00	0.766552
avion	donner	2.00	1930.00	23.00	-0.577183
avion	aile	8.00	1930.00	17.00	1.111392
avion	réduire	3.00	1930.00	6.00	1.172017
avion	emprisonner	1.00	1930.00	1.00	1.865164
avion	soucier	1.00	1930.00	1.00	1.865164
avion	vertical	1.00	1930.00	3.00	0.766552
avion	avérer	1.00	1930.00	5.00	0.255726
avion	vert	1.00	1930.00	8.00	-0.214278
avion	tester	2.00	1930.00	3.00	1.459699
avion	martyr	1.00	1930.00	1.00	1.865164
avion	rendre	3.00	1930.00	16.00	0.191188
avion	commencer	5.00	1930.00	33.00	-0.021906
avion	envoler	2.00	1930.00	3.00	1.459699
avion	réinventer	1.00	1930.00	1.00	1.865164
avion	insecte	1.00	1930.00	11.00	-0.532731
avion	Shanghai	1.00	1930.00	1.00	1.865164
avion	mécher	1.00	1930.00	1.00	1.865164
avion	rouge	2.00	1930.00	12.00	0.073405
avion	venir	13.00	1930.00	59.00	0.352576
avion	bénéfique	1.00	1930.00	2.00	1.172017
avion	kilomètre	3.00	1930.00	10.00	0.661191
avion	cours	3.00	1930.00	5.00	1.354338
avion	synonyme	1.00	1930.00	1.00	1.865164
avion	militaire	4.00	1930.00	4.00	1.865164
avion	anthrax	2.00	1930.00	2.00	1.865164
avion	heure	4.00	1930.00	20.00	0.255726
avion	maison	1.00	1930.00	32.00	-1.600572
avion	impression	1.00	1930.00	5.00	0.255726
avion	américain	2.00	1930.00	10.00	0.255726
avion	période	1.00	1930.00	2.00	1.172017
avion	transformer	2.00	1930.00	12.00	0.073405
avion	d	1.00	1930.00	2.00	1.172017
avion	paire	1.00	1930.00	1.00	1.865164
avion	journalier	1.00	1930.00	1.00	1.865164
avion	économiser	1.00	1930.00	7.00	-0.080746
avion	vingtaine	1.00	1930.00	1.00	1.865164
avion	humain	3.00	1930.00	18.00	0.073405
avion	employer	1.00	1930.00	2.00	1.172017
avion	simulateur	2.00	1930.00	2.00	1.865164
avion	construire	8.00	1930.00	24.00	0.766552
avion	opérationnel	1.00	1930.00	1.00	1.865164
avion	continent	2.00	1930.00	4.00	1.172017
avion	jeune	1.00	1930.00	6.00	0.073405
avion	mois	3.00	1930.00	11.00	0.565881
avion	ordinateur	1.00	1930.00	9.00	-0.332061
avion	être	121.00	1930.00	822.00	-0.050786
avion	environnement	3.00	1930.00	5.00	1.354338
avion	exposer	1.00	1930.00	3.00	0.766552
avion	emporter	2.00	1930.00	4.00	1.172017
avion	vrai	1.00	1930.00	8.00	-0.214278
avion	musique	1.00	1930.00	3.00	0.766552
avion	fixer	1.00	1930.00	2.00	1.172017
avion	communauté	2.00	1930.00	6.00	0.766552
avion	caméra	2.00	1930.00	3.00	1.459699
avion	voir	13.00	1930.00	96.00	-0.134235
avion	efficacité	2.00	1930.00	2.00	1.865164
avion	travailler	1.00	1930.00	8.00	-0.214278
avion	classique	1.00	1930.00	5.00	0.255726
avion	allée	2.00	1930.00	3.00	1.459699
avion	janvier	1.00	1930.00	1.00	1.865164
avion	groupe	1.00	1930.00	9.00	-0.332061
avion	sauter	3.00	1930.00	11.00	0.565881
avion	garde	1.00	1930.00	4.00	0.478870
avion	téléphone	2.00	1930.00	12.00	0.073405
avion	tonnerre	1.00	1930.00	1.00	1.865164
avion	bruyant	1.00	1930.00	4.00	0.478870
avion	impact	1.00	1930.00	3.00	0.766552
avion	long	1.00	1930.00	3.00	0.766552
avion	g.	1.00	1930.00	1.00	1.865164
avion	manière	1.00	1930.00	10.00	-0.437421
avion	jouer	2.00	1930.00	12.00	0.073405
avion	musée	1.00	1930.00	2.00	1.172017
avion	détendre	1.00	1930.00	1.00	1.865164
avion	grimper	1.00	1930.00	1.00	1.865164
avion	privé	1.00	1930.00	1.00	1.865164
avion	savoir	7.00	1930.00	46.00	-0.017567
avion	image	1.00	1930.00	10.00	-0.437421
avion	observer	1.00	1930.00	8.00	-0.214278
avion	filmer	1.00	1930.00	2.00	1.172017
avion	dessin	1.00	1930.00	3.00	0.766552
avion	côté	5.00	1930.00	17.00	0.641389
avion	vacance	2.00	1930.00	5.00	0.948873
avion	fille	3.00	1930.00	9.00	0.766552
avion	accrocher	1.00	1930.00	1.00	1.865164
avion	prendre	20.00	1930.00	66.00	0.671242
avion	nombre	1.00	1930.00	6.00	0.073405
avion	monde	6.00	1930.00	64.00	-0.501960
avion	perpétrer	1.00	1930.00	1.00	1.865164
avion	${dollar}	1.00	1930.00	8.00	-0.214278
avion	rapide	1.00	1930.00	6.00	0.073405
avion	appareil	2.00	1930.00	10.00	0.255726
avion	tout	1.00	1930.00	2.00	1.172017
avion	fin	1.00	1930.00	15.00	-0.842886
avion	dire	12.00	1930.00	99.00	-0.245049
avion	Porsche	1.00	1930.00	1.00	1.865164
avion	apprendre	2.00	1930.00	11.00	0.160416
avion	système	2.00	1930.00	11.00	0.160416
avion	battre	3.00	1930.00	8.00	0.884335
avion	émission	2.00	1930.00	6.00	0.766552
avion	penser	6.00	1930.00	29.00	0.289628
avion	séduisant	1.00	1930.00	2.00	1.172017
avion	créer	2.00	1930.00	21.00	-0.486211
avion	raie	1.00	1930.00	1.00	1.865164
avion	couleur	1.00	1930.00	7.00	-0.080746
avion	parking	1.00	1930.00	9.00	-0.332061
avion	imaginer	2.00	1930.00	5.00	0.948873
avion	son	1.00	1930.00	7.00	-0.080746
avion	mètre	2.00	1930.00	6.00	0.766552
avion	explosion	1.00	1930.00	1.00	1.865164
avion	industrie	2.00	1930.00	7.00	0.612401
avion	couverture	1.00	1930.00	2.00	1.172017
avion	importer	5.00	1930.00	26.00	0.216505
avion	chauffage	1.00	1930.00	5.00	0.255726
avion	instant	1.00	1930.00	3.00	0.766552
avion	web	1.00	1930.00	2.00	1.172017
avion	missile	1.00	1930.00	1.00	1.865164
avion	installer	1.00	1930.00	5.00	0.255726
avion	sol	5.00	1930.00	9.00	1.277377
avion	science	1.00	1930.00	3.00	0.766552
avion	charger	1.00	1930.00	6.00	0.073405
avion	transmetteur	1.00	1930.00	1.00	1.865164
avion	magie	1.00	1930.00	2.00	1.172017
avion	argent	1.00	1930.00	5.00	0.255726
