target	context	f_tc	f_t	f_c	pmi
voiture	terminer	1.00	5072.00	2.00	0.205802
voiture	partiel	1.00	5072.00	1.00	0.898949
voiture	ressembler	11.00	5072.00	28.00	-0.035360
voiture	stupide	1.00	5072.00	2.00	0.205802
voiture	ménager	1.00	5072.00	1.00	0.898949
voiture	représentation	2.00	5072.00	3.00	0.493484
voiture	faible	1.00	5072.00	3.00	-0.199663
voiture	supplémentaire	2.00	5072.00	2.00	0.898949
voiture	circulation	3.00	5072.00	3.00	0.898949
voiture	étoile	1.00	5072.00	4.00	-0.487346
voiture	longue	1.00	5072.00	4.00	-0.487346
voiture	commérage	1.00	5072.00	1.00	0.898949
voiture	juste	9.00	5072.00	20.00	0.100441
voiture	droite	1.00	5072.00	1.00	0.898949
voiture	apprendre	1.00	5072.00	11.00	-1.498946
voiture	gros	8.00	5072.00	19.00	0.033951
voiture	point	7.00	5072.00	15.00	0.136809
voiture	avoir	292.00	5072.00	749.00	-0.043036
voiture	ozone	1.00	5072.00	1.00	0.898949
voiture	possible	2.00	5072.00	5.00	-0.017342
voiture	irrépressible	1.00	5072.00	1.00	0.898949
voiture	intrinsèque	1.00	5072.00	1.00	0.898949
voiture	rabais	1.00	5072.00	1.00	0.898949
voiture	cerveau	1.00	5072.00	5.00	-0.710489
voiture	machine	1.00	5072.00	2.00	0.205802
voiture	suite	2.00	5072.00	5.00	-0.017342
voiture	évaluer	1.00	5072.00	1.00	0.898949
voiture	jongler	1.00	5072.00	1.00	0.898949
voiture	pare-brise	1.00	5072.00	1.00	0.898949
voiture	bar	1.00	5072.00	1.00	0.898949
voiture	promener	1.00	5072.00	1.00	0.898949
voiture	catastrophique	2.00	5072.00	2.00	0.898949
voiture	appuyer	3.00	5072.00	4.00	0.611267
voiture	nul	1.00	5072.00	3.00	-0.199663
voiture	minable	1.00	5072.00	1.00	0.898949
voiture	féminin	1.00	5072.00	1.00	0.898949
voiture	courant	5.00	5072.00	7.00	0.562477
voiture	Amish	1.00	5072.00	2.00	0.205802
voiture	général	3.00	5072.00	9.00	-0.199663
voiture	âge	1.00	5072.00	2.00	0.205802
voiture	journée	2.00	5072.00	3.00	0.493484
voiture	livre	2.00	5072.00	9.00	-0.605129
voiture	file	1.00	5072.00	4.00	-0.487346
voiture	marijuana	2.00	5072.00	2.00	0.898949
voiture	avancée	1.00	5072.00	1.00	0.898949
voiture	oublier	1.00	5072.00	3.00	-0.199663
voiture	laver	2.00	5072.00	2.00	0.898949
voiture	entier	8.00	5072.00	15.00	0.270340
voiture	mars	1.00	5072.00	1.00	0.898949
voiture	pleurer	1.00	5072.00	2.00	0.205802
voiture	mari	1.00	5072.00	2.00	0.205802
voiture	avant	3.00	5072.00	6.00	0.205802
voiture	sac	1.00	5072.00	2.00	0.205802
voiture	ranger	2.00	5072.00	2.00	0.898949
voiture	annoncer	1.00	5072.00	1.00	0.898949
voiture	véhicule	8.00	5072.00	13.00	0.413441
voiture	grand	18.00	5072.00	38.00	0.151734
voiture	œuvre	1.00	5072.00	3.00	-0.199663
voiture	conducteur	9.00	5072.00	10.00	0.793588
voiture	campagne	1.00	5072.00	4.00	-0.487346
voiture	téléphone	7.00	5072.00	12.00	0.359952
voiture	prototyper	2.00	5072.00	2.00	0.898949
voiture	indiquer	1.00	5072.00	1.00	0.898949
voiture	problème	4.00	5072.00	9.00	0.088019
voiture	sentir	3.00	5072.00	12.00	-0.487346
voiture	compte	4.00	5072.00	8.00	0.205802
voiture	penser	9.00	5072.00	29.00	-0.271122
voiture	protection	1.00	5072.00	1.00	0.898949
voiture	portable	3.00	5072.00	5.00	0.388123
voiture	barrière	2.00	5072.00	4.00	0.205802
voiture	nutriment	1.00	5072.00	1.00	0.898949
voiture	choquer	1.00	5072.00	1.00	0.898949
voiture	centre	2.00	5072.00	6.00	-0.199663
voiture	dormir	1.00	5072.00	3.00	-0.199663
voiture	dioxyde	1.00	5072.00	2.00	0.205802
voiture	visage	1.00	5072.00	3.00	-0.199663
voiture	fur	1.00	5072.00	1.00	0.898949
voiture	écraser	3.00	5072.00	15.00	-0.710489
voiture	transport	8.00	5072.00	10.00	0.675805
voiture	soirée	2.00	5072.00	3.00	0.493484
voiture	moto	6.00	5072.00	7.00	0.744798
voiture	nouveau	20.00	5072.00	32.00	0.428945
voiture	courageux	1.00	5072.00	1.00	0.898949
voiture	alternative	1.00	5072.00	3.00	-0.199663
voiture	finir	1.00	5072.00	10.00	-1.403636
voiture	voisin	2.00	5072.00	5.00	-0.017342
voiture	interagir	1.00	5072.00	2.00	0.205802
voiture	essence	11.00	5072.00	11.00	0.898949
voiture	homologue	1.00	5072.00	1.00	0.898949
voiture	monter	9.00	5072.00	26.00	-0.161923
voiture	reste	1.00	5072.00	1.00	0.898949
voiture	distribuer	2.00	5072.00	2.00	0.898949
voiture	production	1.00	5072.00	7.00	-1.046961
voiture	habitude	2.00	5072.00	2.00	0.898949
voiture	moment	4.00	5072.00	12.00	-0.199663
voiture	demande	1.00	5072.00	1.00	0.898949
voiture	piéger	3.00	5072.00	3.00	0.898949
voiture	recharger	2.00	5072.00	2.00	0.898949
voiture	partager	7.00	5072.00	9.00	0.647634
voiture	continent	2.00	5072.00	4.00	0.205802
voiture	dollar	9.00	5072.00	9.00	0.898949
voiture	regrouper	1.00	5072.00	3.00	-0.199663
voiture	possibilité	3.00	5072.00	5.00	0.388123
voiture	réutiliser	1.00	5072.00	1.00	0.898949
voiture	était-ce	1.00	5072.00	1.00	0.898949
voiture	phare	2.00	5072.00	2.00	0.898949
voiture	lustrer	1.00	5072.00	1.00	0.898949
voiture	millards	1.00	5072.00	1.00	0.898949
voiture	jambe	1.00	5072.00	2.00	0.205802
voiture	lumineux	1.00	5072.00	1.00	0.898949
voiture	retirer	2.00	5072.00	2.00	0.898949
voiture	luxe	4.00	5072.00	4.00	0.898949
voiture	échappement	2.00	5072.00	2.00	0.898949
voiture	occuper	2.00	5072.00	4.00	0.205802
voiture	belle-mère	2.00	5072.00	2.00	0.898949
voiture	circuler	3.00	5072.00	3.00	0.898949
voiture	accidenter	1.00	5072.00	1.00	0.898949
voiture	demi	1.00	5072.00	1.00	0.898949
voiture	trouver	19.00	5072.00	41.00	0.129816
voiture	instinctif	1.00	5072.00	1.00	0.898949
voiture	football	1.00	5072.00	1.00	0.898949
voiture	baisser	1.00	5072.00	1.00	0.898949
voiture	grave	2.00	5072.00	2.00	0.898949
voiture	arriver	11.00	5072.00	21.00	0.252322
voiture	allumage	1.00	5072.00	1.00	0.898949
voiture	suie	1.00	5072.00	1.00	0.898949
voiture	descendre	1.00	5072.00	6.00	-0.892811
voiture	appelé	1.00	5072.00	3.00	-0.199663
voiture	consommer	3.00	5072.00	4.00	0.611267
voiture	élever	2.00	5072.00	11.00	-0.805799
voiture	mélange	1.00	5072.00	1.00	0.898949
voiture	vibrer	1.00	5072.00	1.00	0.898949
voiture	covoiturage	1.00	5072.00	1.00	0.898949
voiture	sœur	2.00	5072.00	6.00	-0.199663
voiture	faille	1.00	5072.00	1.00	0.898949
voiture	proposer	1.00	5072.00	2.00	0.205802
voiture	échapper	1.00	5072.00	3.00	-0.199663
voiture	gracieux	1.00	5072.00	1.00	0.898949
voiture	tir	2.00	5072.00	2.00	0.898949
voiture	taser	1.00	5072.00	1.00	0.898949
voiture	bionique	1.00	5072.00	1.00	0.898949
voiture	frapper	1.00	5072.00	3.00	-0.199663
voiture	probable	3.00	5072.00	3.00	0.898949
voiture	avance	1.00	5072.00	2.00	0.205802
voiture	adapter	5.00	5072.00	8.00	0.428945
voiture	banlieue	2.00	5072.00	2.00	0.898949
voiture	zero	2.00	5072.00	2.00	0.898949
voiture	dignité	1.00	5072.00	1.00	0.898949
voiture	nourriture	1.00	5072.00	6.00	-0.892811
voiture	découvrir	1.00	5072.00	9.00	-1.298276
voiture	père	2.00	5072.00	6.00	-0.199663
voiture	tomber	2.00	5072.00	7.00	-0.353814
voiture	payer	12.00	5072.00	14.00	0.744798
voiture	drapeau	1.00	5072.00	1.00	0.898949
voiture	fenêtre	1.00	5072.00	6.00	-0.892811
voiture	moyenne	2.00	5072.00	2.00	0.898949
voiture	cerfs-volants	1.00	5072.00	2.00	0.205802
voiture	balle	3.00	5072.00	4.00	0.611267
voiture	bruit	4.00	5072.00	10.00	-0.017342
voiture	décider	3.00	5072.00	8.00	-0.081880
voiture	accélérateur	1.00	5072.00	1.00	0.898949
voiture	molécule	1.00	5072.00	1.00	0.898949
voiture	homme-machine	1.00	5072.00	1.00	0.898949
voiture	associer	1.00	5072.00	2.00	0.205802
voiture	durable	1.00	5072.00	1.00	0.898949
voiture	photographe	1.00	5072.00	1.00	0.898949
voiture	magie	1.00	5072.00	2.00	0.205802
voiture	respectueux	1.00	5072.00	1.00	0.898949
voiture	main	3.00	5072.00	12.00	-0.487346
voiture	bouton	1.00	5072.00	2.00	0.205802
voiture	matin	2.00	5072.00	7.00	-0.353814
voiture	rail	3.00	5072.00	3.00	0.898949
voiture	meilleur	7.00	5072.00	9.00	0.647634
voiture	week-end	1.00	5072.00	2.00	0.205802
voiture	connaître	4.00	5072.00	11.00	-0.112652
voiture	virer	1.00	5072.00	1.00	0.898949
voiture	cas	1.00	5072.00	6.00	-0.892811
voiture	cap	1.00	5072.00	1.00	0.898949
voiture	récepteur	1.00	5072.00	1.00	0.898949
voiture	médecin	1.00	5072.00	2.00	0.205802
voiture	manuel	1.00	5072.00	1.00	0.898949
voiture	entendre	8.00	5072.00	23.00	-0.157104
voiture	visuel	1.00	5072.00	1.00	0.898949
voiture	liste	1.00	5072.00	2.00	0.205802
voiture	innover	1.00	5072.00	1.00	0.898949
voiture	asseoir	3.00	5072.00	15.00	-0.710489
voiture	attaquer	1.00	5072.00	4.00	-0.487346
voiture	soin	1.00	5072.00	1.00	0.898949
voiture	bijou	1.00	5072.00	1.00	0.898949
voiture	réel	1.00	5072.00	2.00	0.205802
voiture	approcher	1.00	5072.00	3.00	-0.199663
voiture	rêve	2.00	5072.00	4.00	0.205802
voiture	hydrocarbure	1.00	5072.00	1.00	0.898949
voiture	corriger	1.00	5072.00	1.00	0.898949
voiture	verbaliser	1.00	5072.00	1.00	0.898949
voiture	unité	3.00	5072.00	3.00	0.898949
voiture	immatriculation	5.00	5072.00	7.00	0.562477
voiture	iPad	1.00	5072.00	1.00	0.898949
voiture	chuter	1.00	5072.00	1.00	0.898949
voiture	détruire	1.00	5072.00	2.00	0.205802
voiture	garantir	1.00	5072.00	2.00	0.205802
voiture	ennuyeux	2.00	5072.00	2.00	0.898949
voiture	dérive	1.00	5072.00	1.00	0.898949
voiture	laisser	4.00	5072.00	9.00	0.088019
voiture	jeans	1.00	5072.00	1.00	0.898949
voiture	business	2.00	5072.00	2.00	0.898949
voiture	boulot	1.00	5072.00	1.00	0.898949
voiture	publicitaire	1.00	5072.00	1.00	0.898949
voiture	fabriquer	6.00	5072.00	11.00	0.292813
voiture	pot	1.00	5072.00	1.00	0.898949
voiture	donnée	2.00	5072.00	3.00	0.493484
voiture	calculer	1.00	5072.00	1.00	0.898949
voiture	challenge	1.00	5072.00	1.00	0.898949
voiture	œil	4.00	5072.00	10.00	-0.017342
voiture	résider	1.00	5072.00	1.00	0.898949
voiture	oasis	1.00	5072.00	1.00	0.898949
voiture	traîner	1.00	5072.00	1.00	0.898949
voiture	incendie	1.00	5072.00	1.00	0.898949
voiture	est-il	2.00	5072.00	4.00	0.205802
voiture	transparent	1.00	5072.00	3.00	-0.199663
voiture	garer	12.00	5072.00	14.00	0.744798
voiture	prise	1.00	5072.00	1.00	0.898949
voiture	allumer	2.00	5072.00	2.00	0.898949
voiture	apprécier	1.00	5072.00	2.00	0.205802
voiture	brulé	1.00	5072.00	2.00	0.205802
voiture	abandonner	3.00	5072.00	4.00	0.611267
voiture	tenace	1.00	5072.00	1.00	0.898949
voiture	enlever	3.00	5072.00	5.00	0.388123
voiture	content	1.00	5072.00	3.00	-0.199663
voiture	ajouter	3.00	5072.00	6.00	0.205802
voiture	hydrogène	1.00	5072.00	2.00	0.205802
voiture	grâce	3.00	5072.00	7.00	0.051651
voiture	capote	1.00	5072.00	1.00	0.898949
voiture	début	4.00	5072.00	11.00	-0.112652
voiture	glace	2.00	5072.00	3.00	0.493484
voiture	fonction	2.00	5072.00	3.00	0.493484
voiture	fossile	1.00	5072.00	1.00	0.898949
voiture	ressource	1.00	5072.00	4.00	-0.487346
voiture	extra-larges	1.00	5072.00	1.00	0.898949
voiture	désirer	1.00	5072.00	3.00	-0.199663
voiture	pèse	1.00	5072.00	1.00	0.898949
voiture	préoccuper	2.00	5072.00	2.00	0.898949
voiture	marquer	1.00	5072.00	1.00	0.898949
voiture	moitié	3.00	5072.00	6.00	0.205802
voiture	travail	5.00	5072.00	7.00	0.562477
voiture	essayer	6.00	5072.00	23.00	-0.444786
voiture	manœuvre	1.00	5072.00	1.00	0.898949
voiture	objet	3.00	5072.00	3.00	0.898949
voiture	vidéo	5.00	5072.00	16.00	-0.264202
voiture	université	1.00	5072.00	2.00	0.205802
voiture	EM	1.00	5072.00	1.00	0.898949
voiture	pakistanais	1.00	5072.00	1.00	0.898949
voiture	concessionnaire	1.00	5072.00	1.00	0.898949
voiture	coûteux	2.00	5072.00	2.00	0.898949
voiture	carter	1.00	5072.00	1.00	0.898949
voiture	aptitude	1.00	5072.00	1.00	0.898949
voiture	arrive-t-il	1.00	5072.00	1.00	0.898949
voiture	mailler	1.00	5072.00	1.00	0.898949
voiture	Madison	1.00	5072.00	1.00	0.898949
voiture	prédiction	2.00	5072.00	2.00	0.898949
voiture	péage	1.00	5072.00	1.00	0.898949
voiture	progression	1.00	5072.00	1.00	0.898949
voiture	percuter	1.00	5072.00	2.00	0.205802
voiture	décrire	2.00	5072.00	6.00	-0.199663
voiture	étrange	4.00	5072.00	8.00	0.205802
voiture	microblog	1.00	5072.00	1.00	0.898949
voiture	balance	1.00	5072.00	1.00	0.898949
voiture	flic	3.00	5072.00	3.00	0.898949
voiture	petit	14.00	5072.00	44.00	-0.246184
voiture	histoire	3.00	5072.00	11.00	-0.400334
voiture	rétroviseur	2.00	5072.00	2.00	0.898949
voiture	vide	1.00	5072.00	2.00	0.205802
voiture	encombrer	1.00	5072.00	1.00	0.898949
voiture	mesure	2.00	5072.00	3.00	0.493484
voiture	camion	9.00	5072.00	12.00	0.611267
voiture	baiser	1.00	5072.00	2.00	0.205802
voiture	contenir	2.00	5072.00	4.00	0.205802
voiture	truc	2.00	5072.00	8.00	-0.487346
voiture	cylindre	1.00	5072.00	1.00	0.898949
voiture	conséquent	1.00	5072.00	2.00	0.205802
voiture	amusant	1.00	5072.00	3.00	-0.199663
voiture	cause	1.00	5072.00	3.00	-0.199663
voiture	wifi	1.00	5072.00	1.00	0.898949
voiture	iPhones	1.00	5072.00	1.00	0.898949
voiture	perdre	8.00	5072.00	9.00	0.781166
voiture	celui-là	1.00	5072.00	2.00	0.205802
voiture	sexuel	3.00	5072.00	3.00	0.898949
voiture	après-midi	1.00	5072.00	1.00	0.898949
voiture	éviter	4.00	5072.00	8.00	0.205802
voiture	femme	10.00	5072.00	17.00	0.368321
voiture	source	3.00	5072.00	4.00	0.611267
voiture	estimer	1.00	5072.00	1.00	0.898949
voiture	frontière	1.00	5072.00	3.00	-0.199663
voiture	dur	1.00	5072.00	1.00	0.898949
voiture	pensez-vous	1.00	5072.00	2.00	0.205802
voiture	ligne	1.00	5072.00	9.00	-1.298276
voiture	genre	5.00	5072.00	14.00	-0.130671
voiture	pas	1.00	5072.00	1.00	0.898949
voiture	psychiatre	1.00	5072.00	1.00	0.898949
voiture	cuisiner	1.00	5072.00	1.00	0.898949
voiture	louer	4.00	5072.00	4.00	0.898949
voiture	bidouiller	1.00	5072.00	1.00	0.898949
voiture	réussir	2.00	5072.00	4.00	0.205802
voiture	toupie	1.00	5072.00	1.00	0.898949
voiture	sensé	1.00	5072.00	1.00	0.898949
voiture	méthode	1.00	5072.00	1.00	0.898949
voiture	développer	6.00	5072.00	9.00	0.493484
voiture	poids	3.00	5072.00	4.00	0.611267
voiture	adorer	2.00	5072.00	2.00	0.898949
voiture	siffler	1.00	5072.00	2.00	0.205802
voiture	mécanique	3.00	5072.00	3.00	0.898949
voiture	inhabituel	1.00	5072.00	3.00	-0.199663
voiture	prétendre	1.00	5072.00	3.00	-0.199663
voiture	inanimé	1.00	5072.00	1.00	0.898949
voiture	envoyer	5.00	5072.00	10.00	0.205802
voiture	million	11.00	5072.00	16.00	0.524255
voiture	cher	4.00	5072.00	4.00	0.898949
voiture	traiter	1.00	5072.00	1.00	0.898949
voiture	acheter	14.00	5072.00	24.00	0.359952
voiture	trébucher	1.00	5072.00	1.00	0.898949
voiture	vérifier	1.00	5072.00	4.00	-0.487346
voiture	doute	1.00	5072.00	2.00	0.205802
voiture	deux-millimètres	1.00	5072.00	1.00	0.898949
voiture	cadre	1.00	5072.00	1.00	0.898949
voiture	équilibrage	1.00	5072.00	1.00	0.898949
voiture	filtre	1.00	5072.00	1.00	0.898949
voiture	taxer	2.00	5072.00	2.00	0.898949
voiture	personnes-kilomètres	1.00	5072.00	1.00	0.898949
voiture	science	1.00	5072.00	3.00	-0.199663
voiture	passion	1.00	5072.00	1.00	0.898949
voiture	dos	1.00	5072.00	4.00	-0.487346
voiture	autre	27.00	5072.00	66.00	0.005131
voiture	atterrissage	3.00	5072.00	3.00	0.898949
voiture	conditionné	1.00	5072.00	1.00	0.898949
voiture	conduite	5.00	5072.00	5.00	0.898949
voiture	connecter	5.00	5072.00	9.00	0.311162
voiture	gens	15.00	5072.00	39.00	-0.056563
voiture	question	3.00	5072.00	8.00	-0.081880
voiture	concurrencer	1.00	5072.00	1.00	0.898949
voiture	erreur	1.00	5072.00	2.00	0.205802
voiture	fils	2.00	5072.00	4.00	0.205802
voiture	patient	1.00	5072.00	1.00	0.898949
voiture	serre	1.00	5072.00	1.00	0.898949
voiture	cool	1.00	5072.00	2.00	0.205802
voiture	type	6.00	5072.00	15.00	-0.017342
voiture	ca	1.00	5072.00	3.00	-0.199663
voiture	continuer	2.00	5072.00	4.00	0.205802
voiture	flamme	1.00	5072.00	1.00	0.898949
voiture	constructeur	2.00	5072.00	2.00	0.898949
voiture	étudiant	1.00	5072.00	1.00	0.898949
voiture	satisfaire	1.00	5072.00	1.00	0.898949
voiture	préliminaire	1.00	5072.00	1.00	0.898949
voiture	disposer	1.00	5072.00	1.00	0.898949
voiture	fertilité	1.00	5072.00	1.00	0.898949
voiture	parents	1.00	5072.00	2.00	0.205802
voiture	famille	1.00	5072.00	9.00	-1.298276
voiture	démarrer	2.00	5072.00	4.00	0.205802
voiture	célèbre	1.00	5072.00	2.00	0.205802
voiture	contribuer	2.00	5072.00	3.00	0.493484
voiture	planter	1.00	5072.00	4.00	-0.487346
voiture	moteur	11.00	5072.00	19.00	0.352405
voiture	milieu	3.00	5072.00	4.00	0.611267
voiture	fil	4.00	5072.00	6.00	0.493484
voiture	vendre	4.00	5072.00	10.00	-0.017342
voiture	propre	9.00	5072.00	19.00	0.151734
voiture	exemplaire	2.00	5072.00	2.00	0.898949
voiture	magnifique	1.00	5072.00	4.00	-0.487346
voiture	particulier	1.00	5072.00	6.00	-0.892811
voiture	croisement	4.00	5072.00	4.00	0.898949
voiture	basse	1.00	5072.00	1.00	0.898949
voiture	boîte	1.00	5072.00	1.00	0.898949
voiture	confondre	1.00	5072.00	1.00	0.898949
voiture	toilette	1.00	5072.00	2.00	0.205802
voiture	engager	1.00	5072.00	4.00	-0.487346
voiture	restaurant	1.00	5072.00	1.00	0.898949
voiture	client	1.00	5072.00	1.00	0.898949
voiture	haut--	1.00	5072.00	1.00	0.898949
voiture	impliquer	3.00	5072.00	4.00	0.611267
voiture	copine	1.00	5072.00	2.00	0.205802
voiture	police	11.00	5072.00	12.00	0.811937
voiture	sida	1.00	5072.00	1.00	0.898949
voiture	hybride	3.00	5072.00	3.00	0.898949
voiture	partir	3.00	5072.00	13.00	-0.567388
voiture	mobilité	2.00	5072.00	3.00	0.493484
voiture	faudra-t-il	1.00	5072.00	1.00	0.898949
voiture	entropique	1.00	5072.00	1.00	0.898949
voiture	chaise	1.00	5072.00	1.00	0.898949
voiture	emails	2.00	5072.00	2.00	0.898949
voiture	postes	1.00	5072.00	1.00	0.898949
voiture	poster	1.00	5072.00	2.00	0.205802
voiture	déjeuner	1.00	5072.00	1.00	0.898949
voiture	bonder	1.00	5072.00	1.00	0.898949
voiture	origine	1.00	5072.00	4.00	-0.487346
voiture	hui	8.00	5072.00	14.00	0.339333
voiture	plan	1.00	5072.00	2.00	0.205802
voiture	chanson	4.00	5072.00	6.00	0.493484
voiture	égard	1.00	5072.00	1.00	0.898949
voiture	cycliste	1.00	5072.00	1.00	0.898949
voiture	collectionner	1.00	5072.00	1.00	0.898949
voiture	voiturer	2.00	5072.00	3.00	0.493484
voiture	circuit	2.00	5072.00	2.00	0.898949
voiture	rendez-vous	1.00	5072.00	1.00	0.898949
voiture	capital	1.00	5072.00	1.00	0.898949
voiture	décoller	1.00	5072.00	6.00	-0.892811
voiture	venu	1.00	5072.00	1.00	0.898949
voiture	apparier	1.00	5072.00	1.00	0.898949
voiture	développement	2.00	5072.00	5.00	-0.017342
voiture	indication	1.00	5072.00	1.00	0.898949
voiture	radio	7.00	5072.00	9.00	0.647634
voiture	pilote	6.00	5072.00	16.00	-0.081880
voiture	horreur	1.00	5072.00	1.00	0.898949
voiture	admettre	1.00	5072.00	1.00	0.898949
voiture	originel	1.00	5072.00	1.00	0.898949
voiture	sorte	6.00	5072.00	16.00	-0.081880
voiture	habituel	1.00	5072.00	1.00	0.898949
voiture	proche	2.00	5072.00	2.00	0.898949
voiture	mécanicien	1.00	5072.00	1.00	0.898949
voiture	habituer	1.00	5072.00	1.00	0.898949
voiture	cheval-vapeur	1.00	5072.00	1.00	0.898949
voiture	puce	1.00	5072.00	4.00	-0.487346
voiture	attelage	1.00	5072.00	2.00	0.205802
voiture	subventionner	1.00	5072.00	2.00	0.205802
voiture	accorder	1.00	5072.00	1.00	0.898949
voiture	exploiter	1.00	5072.00	1.00	0.898949
voiture	favoriser	1.00	5072.00	1.00	0.898949
voiture	coincer	1.00	5072.00	2.00	0.205802
voiture	hectare	1.00	5072.00	1.00	0.898949
voiture	frère	2.00	5072.00	5.00	-0.017342
voiture	diversité	1.00	5072.00	2.00	0.205802
voiture	provenir	1.00	5072.00	4.00	-0.487346
voiture	ESP	1.00	5072.00	1.00	0.898949
voiture	fabrication	1.00	5072.00	1.00	0.898949
voiture	pénaliser	1.00	5072.00	1.00	0.898949
voiture	voulons-nous	1.00	5072.00	1.00	0.898949
voiture	chose	26.00	5072.00	60.00	0.062701
voiture	U	1.00	5072.00	1.00	0.898949
voiture	automate	1.00	5072.00	1.00	0.898949
voiture	compenser	1.00	5072.00	1.00	0.898949
voiture	endroit	9.00	5072.00	21.00	0.051651
voiture	garder	2.00	5072.00	2.00	0.898949
voiture	intangible	1.00	5072.00	1.00	0.898949
voiture	baseball	1.00	5072.00	1.00	0.898949
voiture	rassembler	1.00	5072.00	4.00	-0.487346
voiture	résoudre	2.00	5072.00	2.00	0.898949
voiture	freinage	1.00	5072.00	1.00	0.898949
voiture	enfance	2.00	5072.00	2.00	0.898949
voiture	retour	4.00	5072.00	6.00	0.493484
voiture	portière	1.00	5072.00	1.00	0.898949
voiture	autoradio	2.00	5072.00	2.00	0.898949
voiture	part	6.00	5072.00	9.00	0.493484
voiture	filer	1.00	5072.00	1.00	0.898949
voiture	courbe	1.00	5072.00	1.00	0.898949
voiture	multiplication	2.00	5072.00	2.00	0.898949
voiture	vent	1.00	5072.00	1.00	0.898949
voiture	lampe	1.00	5072.00	1.00	0.898949
voiture	base	1.00	5072.00	4.00	-0.487346
voiture	ruisseau	1.00	5072.00	4.00	-0.487346
voiture	semaine	4.00	5072.00	11.00	-0.112652
voiture	rôle	1.00	5072.00	2.00	0.205802
voiture	académique	1.00	5072.00	1.00	0.898949
voiture	parler	16.00	5072.00	32.00	0.205802
voiture	terme	3.00	5072.00	4.00	0.611267
voiture	équipe	1.00	5072.00	4.00	-0.487346
voiture	durabilité	1.00	5072.00	1.00	0.898949
voiture	diagnostic	1.00	5072.00	1.00	0.898949
voiture	attaque	1.00	5072.00	3.00	-0.199663
voiture	voler	7.00	5072.00	43.00	-0.916341
voiture	manger	1.00	5072.00	18.00	-1.991423
voiture	contour	1.00	5072.00	1.00	0.898949
voiture	important	6.00	5072.00	19.00	-0.253731
voiture	budget	2.00	5072.00	2.00	0.898949
voiture	entourer	1.00	5072.00	1.00	0.898949
voiture	lancer	6.00	5072.00	11.00	0.292813
voiture	bête	1.00	5072.00	1.00	0.898949
voiture	installation	1.00	5072.00	1.00	0.898949
voiture	entrée	2.00	5072.00	2.00	0.898949
voiture	rester	3.00	5072.00	10.00	-0.305024
voiture	euro	2.00	5072.00	2.00	0.898949
voiture	faire	75.00	5072.00	191.00	-0.035837
voiture	levier	2.00	5072.00	2.00	0.898949
voiture	rationnement	1.00	5072.00	1.00	0.898949
voiture	cow-girl	1.00	5072.00	1.00	0.898949
voiture	passer	20.00	5072.00	47.00	0.044533
voiture	marche	4.00	5072.00	4.00	0.898949
voiture	itération	1.00	5072.00	1.00	0.898949
voiture	vivre	7.00	5072.00	19.00	-0.099580
voiture	symbiose	1.00	5072.00	1.00	0.898949
voiture	lent	1.00	5072.00	1.00	0.898949
voiture	inculper	1.00	5072.00	1.00	0.898949
voiture	affichage	1.00	5072.00	1.00	0.898949
voiture	disponible	5.00	5072.00	7.00	0.562477
voiture	nettoyer	1.00	5072.00	3.00	-0.199663
voiture	rapport	3.00	5072.00	11.00	-0.400334
voiture	mer	1.00	5072.00	4.00	-0.487346
voiture	moindre	1.00	5072.00	1.00	0.898949
voiture	faufiler	1.00	5072.00	1.00	0.898949
voiture	mesurer	3.00	5072.00	3.00	0.898949
voiture	porte	1.00	5072.00	3.00	-0.199663
voiture	emprunter	1.00	5072.00	1.00	0.898949
voiture	inscrire	1.00	5072.00	1.00	0.898949
voiture	déraper	1.00	5072.00	1.00	0.898949
voiture	tenir	1.00	5072.00	3.00	-0.199663
voiture	analogie	1.00	5072.00	1.00	0.898949
voiture	nuage	2.00	5072.00	3.00	0.493484
voiture	terrible	1.00	5072.00	3.00	-0.199663
voiture	propos	2.00	5072.00	4.00	0.205802
voiture	exploit	1.00	5072.00	1.00	0.898949
voiture	assassiner	1.00	5072.00	1.00	0.898949
voiture	miser	1.00	5072.00	1.00	0.898949
voiture	imparfait	1.00	5072.00	1.00	0.898949
voiture	méthane	1.00	5072.00	1.00	0.898949
voiture	épidémique	1.00	5072.00	1.00	0.898949
voiture	état	2.00	5072.00	12.00	-0.892811
voiture	acier	4.00	5072.00	4.00	0.898949
voiture	€	1.00	5072.00	1.00	0.898949
voiture	frugal	1.00	5072.00	1.00	0.898949
voiture	plaindre	1.00	5072.00	1.00	0.898949
voiture	organisme	1.00	5072.00	2.00	0.205802
voiture	influencer	1.00	5072.00	2.00	0.205802
voiture	stéréo	1.00	5072.00	1.00	0.898949
voiture	atterrir	1.00	5072.00	6.00	-0.892811
voiture	globe	1.00	5072.00	1.00	0.898949
voiture	avenir	4.00	5072.00	6.00	0.493484
voiture	marcher	8.00	5072.00	19.00	0.033951
voiture	limiter	1.00	5072.00	2.00	0.205802
voiture	précis	2.00	5072.00	3.00	0.493484
voiture	télévision	1.00	5072.00	2.00	0.205802
voiture	a-t-on	1.00	5072.00	1.00	0.898949
voiture	cinéma	1.00	5072.00	1.00	0.898949
voiture	bâtiment	2.00	5072.00	4.00	0.205802
voiture	actionner	1.00	5072.00	1.00	0.898949
voiture	grandir	1.00	5072.00	7.00	-1.046961
