target	id_target	context	id_context	f_tc	f_t	f_c	cond_prob	pmi	npmi	lmi	tscore	zscore	dice	chisquare	loglike	affinity	entropy_target	entropy_context
avion	0	militaire	2183	4.00	1930.00	4.00	0.002073	1.865164	0.231866	7.460656	1.690258	4.295051	0.004137	21.834988	14.921312	0.501036	6.005527	0.000000
avion	0	anthrax	2184	2.00	1930.00	2.00	0.001036	1.865164	0.213472	3.730328	1.195193	3.037060	0.002070	10.915741	7.460656	0.500518	6.005527	0.000000
avion	0	heure	1140	4.00	1930.00	20.00	0.002073	0.255726	0.031790	1.022904	0.451292	0.512847	0.004103	0.311709	2.045809	0.101036	6.005527	0.981942
avion	0	maison	145	1.00	1930.00	32.00	0.000518	-1.600572	-0.169724	-1.600572	-3.955866	-1.776977	0.001019	3.745908	-3.201144	0.015884	6.005527	0.684874
avion	0	impression	1164	1.00	1930.00	5.00	0.000518	0.255726	0.027117	0.255726	0.225646	0.256423	0.001034	0.077834	0.511452	0.100259	6.005527	1.054920
avion	0	américain	148	2.00	1930.00	10.00	0.001036	0.255726	0.029268	0.511452	0.319112	0.362638	0.002062	0.155730	1.022904	0.100518	6.005527	1.470808
avion	0	période	1166	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	transformer	150	2.00	1930.00	12.00	0.001036	0.073405	0.008401	0.146809	0.100091	0.103833	0.002060	0.012769	0.293618	0.083851	6.005527	1.791759
avion	0	d	1169	1.00	1930.00	2.00	0.000518	1.172017	0.124280	1.172017	0.690258	1.240258	0.001035	1.820415	2.344034	0.250259	6.005527	0.693147
avion	0	paire	152	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	journalier	153	1.00	1930.00	1.00	0.000518	1.865164	0.197781	1.865164	0.845129	2.147525	0.001036	5.457433	3.730328	0.500259	6.005527	0.000000
avion	0	économiser	1172	1.00	1930.00	7.00	0.000518	-0.080746	-0.008562	-0.080746	-0.084096	-0.080768	0.001033	0.007723	-0.161492	0.071688	6.005527	0.796312
